Locus_Name	Alias_Name	Description	Gene_Product	Phenotype	ORF_Name	SGDID
COX5B		Cytochrome-c oxidase chain Vb	cytochrome c oxidase chain Vb	Null mutant is viable	YIL111W	S0001373
COX6		subunit VI of cytochrome c oxidase	cytochrome c oxidase subunit	Null mutant is viable, sensitive to H2O2	YHR051W	S0001093
COX7		subunit VII of cytochrome c oxidase	cytochrome c oxidase subunit VII	Null mutant is viable, lacks cytochrome c oxidase activity and haem a/a3 spectra; respiratory deficient	YMR256C	S0004869
COX8		Cytochrome-c oxidase chain VIII	cytochrome c oxidase chain VIII	Null mutant is viable, deficient in cellular respiration and cytochrome C oxidase activity	YLR395C	S0004387
COX9		Plays role in cytochrome c oxidase holoenzyme assembly or stability	cytochrome c oxidase subunit VIIa	Lacks functional cytochrome c oxidase holoenzyme	YDL067C	S0002225
COY1		CASP Of Yeast			YKL179C	S0001662
CPA1		Carbamoyl phosphate synthetase, arginine specific	arginine specific|carbamoyl phosphate synthetase	Null mutant is viable	YOR303W	S0005829
CPA2		carbamyl phosphate synthetase	carbamyl phosphate synthetase	Null mutant is viable	YJR109C	S0003870
CPD1		2',3'-cyclic nucleotide 3'-phosphodiesterase, similar to cyclic phosphodiesterases from Arapidopsis and wheat	2',3'-cyclic nucleotide 3'-phosphodiesterase	null: viable, no detected growth defects, defective in hydrolysis of ADP-ribose 1'',2''-cyclic phosphate (Appr>p)	YGR247W	S0003479
CPR1	CPH1|CYP1	cyclophilin peptidyl-prolyl cis-trans isomerase	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable	YDR155C	S0002562
CPR2	CYP2	Human cyclophilin B protein	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable; sensitive to heat	YHR057C	S0001099
CPR3	CYP3	cyclophilin-3 (cyclosporin-sensitive proline rotamase-3)	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable, unable to grow on L-lactate at 37 degrees C	YML078W	S0004543
CPR4	CYP4|SCC3	cyclophilin homolog	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)	suppressor of cdc65	YCR069W	S0000665
CPR5	CYP5	Cyclophilin D, Peptidyl-prolyl cis-trans isomerase D	cyclophilin D|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable	YDR304C	S0002712
CPR6		a cyclophilin related to the mammalian CyP-40; physically interacts with RPD3 gene product	cyclophilin 40|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable, has normal growth rate	YLR216C	S0004206
CPR7		a cyclophilin related to the mammalian CyP-40; physically interacts with RPD3 gene product	cyclophilin 40|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable, but grows slowly	YJR032W	S0003793
CPR8		Shows similarity to the secretory pathway cyclophilin Cpr4	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)	Null mutant is viable	YNR028W	S0005311
CPS1		carboxypeptidase yscS	carboxypeptidase yscS	Null mutant is viable; leucine auxotroph	YJL172W	S0003708
CPT1		Phospholipid biosynthesis	sn-1,2-diacylglycerol cholinephosphotransferase	Null mutant is viable, cpt1 ept1 double deletion mutants are viable	YNL130C	S0005074
CRC1		carnitine carrier	carnitine transporter	Null mutant is viable	YOR100C	S0005626
CRD1	CLS1	Cardiolipin synthase	cardiolipin synthase	Null mutant is viable, exhibits growth defects in galactose and glycerol/ethanol media	YDL142C	S0002301
CRH1		congo red hypersensitive	cell wall protein	Null mutant is viable and hypersensitive to Congo Red and Calcofluor White	YGR189C	S0003421
CRL1				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000405
CRL10		may be involved in the fidelity of protein translation		Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000410
CRL11				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000411
CRL12		may be involved in the fidelity of protein translation		arrest late in the cell cycle after several divisions at the nonpermissive temperature		L0000412
CRL15				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000414
CRL16				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000415
CRL17				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000416
CRL18				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000417
CRL2				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0003207
CRL22				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000419
CRL4				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000407
CRL7				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000408
CRL9				Null is inviable. ts mutants are unable to grow at 37 C, arresting late in cell cycle after several divisions; they also fail to arrest at G1 when starved for a single amino acid (but do arrest at G1 when deprived of all nitrogen), are resistant to cyclohexamide, and are hypersensitive to amino acid analogs, hygromycin B and 3-aminotriazole.		L0000409
CRM1	KAP124|XPO1	Involved in nuclear export	chromosome region maintenance protein	Null mutant is inviable; a temperature sensitive crm1 allele shows defects in nuclear protein export	YGR218W	S0003450
CRN1		Crn1p associates with the Arp2/3 complex and inhibits WA- and Abp1-activated actin nucleation in the absence of preformed actin filaments, suggesting that Crn1 may restrict Arp2/3 complex activity to the sides of filaments.	Dictyostelium and human actin-binding protein coronin homolog	Overexpression of CRN1 causes growth arrest and redistribution of Arp2p and Crn1p into aberrant actin loops.	YLR429W	S0004421
CRP1		Cruciform DNA Binding Protein 1	Cruciform DNA binding protein	Null: Null mutant is viable and shows no growth defects	YHR146W	S0001189
CRR1		CRH-Related			YLR213C	S0004203
CRS5		Metallothionein-like protein	metallothionein-like protein	Null mutant is viable, exhibits increased sensitivity to copper toxicity	YOR031W	S0005557
CRT2				crt2 mutants show a defect in basal level expression of RNR1-lacZ reporter constructs		L0004777
CRZ1	HAL8|TCN1	<u>c</u>alcineurin <u>r</u>esponsive <u>z</u>inc-finger	transcription factor	Null mutant is viable	YNL027W	S0004972
CSE1	KAP109	Protein required for accurate mitotic chromosome segregation		Null mutant is inviable	YGL238W	S0003207
CSE2	MED9	Protein required for accurate mitotic chromosome segregation	RNA polymerase II mediator subcomplex component	Null mutant is viable, accumulates large-budded cells, results in significant increase in chromosome missegregation, slower growth, and defective meiosis	YNR010W	S0005293
CSE4	CSL2	Required for proper kinetochore function; may be involved in assembly of a CEN-specific chromatin structure	similar to histone H3 and to human centromere protein CENP-A	Null mutant is inviable; cse4-1 mutant causes increased non-disjunction of chromosome with mutated CEN and t.s. arrest at G2/M boundary with 2N DNA content	YKL049C	S0001532
CSF1		Cold Sensitive for Fermentation<br> in cs mutants, fermentation capacity is almost none at 5 deg C, but restored to wild type at 25 deg C			YLR087C	S0004077
CSG2	CLS2	Required for growth in high (>25mM) calcium, contains 9 or 10 putative membrane spanning regions	required for mannosylation of inositolphosphorylceramide (IPC)	Null mutant is viable but Ca2+-sensitive; a presumed point mutant is sensitive to Ca2+ levels greater than 10 mM (but remains insensitive to 50 mM Sr2+)	YBR036C	S0000240
CSI1		COP9 signalosome interactor	Interactor with COP9 signalosome (CSN) complex		YMR025W	S0004627
CSL4	SKI4	Represses the replication of double-stranded RNA viruses, protecting the host from the otherwise lethal effects of the virus		Null mutant is inviable, csl4-1 exhibits double mutant inviability in combination with cbf1(cep1) deletion mutants	YNL232W	S0005176
CSM1		Chromosome segregation in meiosis		Null: missegregates chromosomes in meiosis	YCR086W	S0000682
CSM2		Chromosome segregation in meiosis		Null: missegregates chromosomes in meiosis	YIL132C	S0001394
CSM3		Chromosome segregation in meiosis		Null: missegregates chromosomes in meiosis	YMR048W	S0004651
CSM4		Chromosome segregation in meiosis		Null: missegregates chromosomes in meiosis	YPL200W	S0006121
CSN1		COP9 signalosome				S0007570
CSN12		subunit of COP9 signalosome (CSN)	COP9 signalosome (CSN) subunit		YJR084W	S0003844
CSN13		COP9 signalosome				S0007582
CSN14		COP9 signalosome				S0007583
CSN15		COP9 signalosome				S0007584
CSN16		COP9 signalosome				S0007585
CSN2		COP9 signalosome				S0007571
CSN3		COP9 signalosome				S0007572
CSN4		COP9 signalosome				S0007573
CSN6		COP9 signalosome				S0007575
CSN7		COP9 signalosome				S0007576
CSN8		COP9 signalosome				S0007577
CSN9		subunit of Cop9 Signalosome (CSN)	COP9 signalosome (CSN) subunit		YDR179C	S0002586
CSR1	SFH2	chs5 spa2 rescue; isolated as a multicopy suppressor of the lethality of chs5 spa2 double mutant at 37 degrees. Also Sec14p homolog, putative phosphatidylinositol transfer protein.		Null mutant is viable	YLR380W	S0004372
CSR2	MRG19	chs5 spa2 rescue; overexpression rescues the lethality of chs5 spa2 at 37 degrees		Null mutant is viable	YPR030W	S0006234
CSS1				an EMS mutant suppresses the slow growth phenotype of cpr7 null mutants		L0003231
CST14		Chromosome STability		Overexpression of CSTs induces chromosome loss		L0002998
CST18		Chromosome STability		Overexpression of CSTs induces chromosome loss		L0002999
CST21		Chromosome STability		Overexpression of CSTs induces chromosome loss		L0003000
CST3		Chromosome STability		Overexpression of CSTs induces chromosome loss		L0002993
CST6	ACA2|SHF1	Chromosome STability; contains an ATF/CREB-like bZIP domain; transcriptional activator; interacts with the STB locus on 2-micron plasmid	basic leucine zipper (bZIP) transcription factor	Overexpression of CSTs induces chromosome loss	YIL036W	S0001298
CST9	ZIP3	Chromosome STability; involved in meiotic chromosome synapsis		Null mutant is viable, but exhibits delayed sporulation and reduced viability; overexpression of CSTs induces chromosome loss	YLR394W	S0004386
CTA1		catalase A	catalase A	Null mutant is viable and heat sensitive	YDR256C	S0002664
CTF13	CBF3C	58 kd component (Cbf3c) of the multisubunit 'Cbf3' kinetochore protein complex, which binds to the CDE III element of centromeres		Null mutant is inviable	YMR094W	S0004700
CTF18	CHL12	Chromosome transmission		Null mutant is viable, exhibits increased level of spontaneous mitotic recombination, slow growth, and cold sensitivity	YMR078C	S0004683
CTF19	MCM18	Chromosome Transmission Fidelity	kinetochore protein	Null mutant is viable	YPL018W	S0005939
CTF3	CHL3	kinetochore-related protein			YLR381W	S0004373
CTF4	CHL15|POB1	Has a role in regulating DNA replication complexes.	DNA polymerase alpha binding protein	Null mutant is viable but shows increase in the rate of mitotic chromosome loss, increased mitotic recombination, shift toward cells with G2 DNA content, and large budded cells with the nucleus in the bud neck; shows synthetic interactions with rad52, pol1, rad9, and esr1	YPR135W	S0006339
CTF8		(putative) kinetochore protein			YHR191C	S0001234
CTH1		putative transcription factor	CCCH zinc finger protein family that has two or more repeats of a novel zinc finger motif consisting of Cys and His residues in the form Cx8Cx5Cx3H [where x is a variable amino acid (aa)]	Null mutant is viable, displays a threefold increase in CTH2 mRNA accumulation. CTH1 overexpression causes delayed entry of cell cultures into exponential growth, and a decrease in final cell density. Removal of the zinc finger domain of Cth1p by truncation or deletion completely reverses the overexpression slow growth phenotype	YDR151C	S0002558
CTI6	RXT1	Hypothetical ORF			YPL181W	S0006102
CTK1		putative kinase subunit of the kinase complex that phosphorylates the RPO21 CTD (carboxy-terminal domain); also called CTDK-I alpha subunit	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	Null mutant is viable, slow-growing and cold-sensitive	YKL139W	S0001622
CTK2		cyclin-related subunit of the kinase complex that phosphorylates the RPO21 CTD (carboxy-terminal domain); also called CTDK-I beta subunit	RNA polymerase II C-terminal domain kinase beta subunit, similar to cyclin	Null mutant is viable, displays slow growth and cold sensitive phenotypes in combination with ctk1 and ctk3 null mutants	YJL006C	S0003543
CTK3		CTD kinase-I gamma subunit	RNA polymerase II C-terminal domain kinase gamma subunit, similar to cyclin-dependent kinase	Null mutant is viable, displays slow growth and cold sensitive phenotypes in combination with ctk1 and ctk2 null mutants	YML112W	S0004580
CTL1	CTH1	CET1-Like Gene #1 (CET1 = capping enzyme triphosphatase 1)	RNA triphosphatase	Null mutant is viable at 15/30/37C, on media lacking inositol, and on media containing 15nM caffeine. CTL1 shows no genetic interaction with ceg1-250, cet1-4, nor CTD truncation mutants and does not suppress (in high copy) any of these mutants.	YMR180C	S0004792
CTM1		cytochrome c trimethylase	cytochrome c methyltransferase	lack of trimethylation of cytochrome C Lys72	YHR109W	S0001151
CTP1		citrate transport protein	citrate tranporter	Null mutant is viable	YBR291C	S0000495
CTR1		High affinity copper transporter into the cell, probable integral membrane protein	copper transport protein	Null mutant is viable, deficient in ferrous iron uptake	YPR124W	S0006328
CTR2		Putative low-affinity copper transport protein		ctr2 mutants display a high level of resistance to toxic copper concentrations. CTR2 overexpression provides increased resistance to copper starvation and is also associated with an increased sensitivity to copper toxicity.	YHR175W	S0001218
CTR3		integral membrane protein that functions in high affinity copper transport	copper transporter	Null mutant is viable, grows slower than w.t. under conditons of copper limitation on non-fermentable carbon source; strains with a deletion of both CTR1 and CTR3 are unable to grow on nonfermentable carbon sources	YLR411W	S0004403
CTR86		CTR86 shares a terminator region with THR4. CTR86 contains aGCN4 responsive site suggesting it may also be involved in amino acid biosynthesis.			YCR054C	S0000650
CTR9	CDP1	CTR9 is required for normal CLN1 and CLN2 G1 cyclin expression		Null mutant is viable, loses chromosomes and shows temperature sensitivity	YOL145C	S0005505
CTS1		Endochitinase	endochitinase	Null mutant is viable; exhibits a defect in cell separation	YLR286C	S0004276
CTS2		chitinase	Sporulation-specific chitinase	Null mutant fails to form mature asci, synthesis of spore wall surface layers is affected.	YDR371W	S0002779
CTT1		cytoplasmic catalase T	catalase T	Null mutant is viable and heat sensitive	YGR088W	S0003320
CUE1		Cue1p assembles with Ubc7p. Cue1p recruits Ubc7p to the cytosolic surface of the endoplasmic reticulum. Assembly with Cue1p is a prerequisite for the function of Ubc7p	Ubc7p binding and recruitment protein	Null mutant is viable and shows stabilization of ER degradation substrates	YMR264W	S0004877
CUE2		Hypothetical ORF			YKL090W	S0001573
CUE3		Hypothetical ORF			YGL110C	S0003078
CUE4		Hypothetical ORF			YML101C	S0004568
CUE5		Hypothetical ORF			YOR042W	S0005568
CUP1-1	CUP1	required for cell growth at high copper concentrations.	copper binding metallothionein	Copper resistance	YHR053C	S0001095
CUP1-2	CUP1	required for cell growth at high copper concentrations.	copper binding metallothionein	Copper resistance	YHR055C	S0001097
CUP14		copper homeostasis		Copper resistance		L0000443
CUP2	ACE1	Upregulates metallothionein (CUP1) expression in response to Cu2+	transcriptional activator	Null mutant is sensitive to Cu2+	YGL166W	S0003134
CUP3				Copper resistance		L0000440
CUP5	CLS7|GEF2|VMA3	vacuolar ATPase V0 domain subunit c (17 kDa)	17 kDa|VO sector subunit|dicyclohexylcarbodiimide binding subunit|proteolipid|vacuolar ATP synthase proteolipid C|vacuolar ATPase V0 domain subunit c (dicyclohexylcarbodiimide binding subunit) (17 kDa)	Null mutant is viable, petite, copper sensitive	YEL027W	S0000753
CUP9		homeobox domain similar human proto-oncogene PBX1	DNA binding protein (putative)	Null mutant is viable, associated with loss of copper resistance	YPL177C	S0006098
CUS1		cold sensitive U2 snRNA Suppressor	U2 snRNP protein	suppresses cold sensitivity of a U2 G53A cs mutant	YMR240C	S0004853
CUS2		cold sensitive U2 snRNA Supressor		Null mutant is viable, enhances U2 mutations; mutations in this gene suppress the cold sensitive phenotype of U2 RNA mutation G53A	YNL286W	S0005230
CVT10				cvt10 is defective in maturation of the vacuolar protein, aminopeptidase I		L0004761
CVT11				cvt11 is defective in maturation of the vacuolar protein, aminopeptidase I		L0004762
CVT12				cvt12 is defective in maturation of the vacuolar protein, aminopeptidase I		L0004763
CVT14				cvt14 is defective in maturation of the vacuolar protein, aminopeptidase I		L0004765
CVT15				cvt15 is defective in maturation of the vacuolar protein, aminopeptidase I		L0004766
CVT16				cvt16 is defective in maturation of the vacuolar protein, aminopeptidase I		L0004776
CVT17	AUT5	Cytoplasm to vacuole targeting mutant. essential for intravacuolar lysis of autophagic bodies. amino terminus is located in cytosol, carboxyl terminus is located inside the ER lumen.	lipase (putative)	cvt17 is defective in lysis of autophagic vesicles after delivery to the vacuole. Null mutant is starvation-sensitive, accumulates subvacuolar vesicles, defective in maturation of aminopeptidase I and in autophagy.	YCR068W	S0000664
CVT19		Cytoplasm to Vacuole Targeting; Mutant is defective in import of aminopeptidase I through the cytoplasm to vacuole targeting pathway	Receptor for biosynthetic cytoplasm to vacuole targeting	Null: viable, unable to target vacuolar aminopeptidase I and to vacuoles, both under growing and nitrogen starvation conditions.	YOL082W	S0005442
CVT20	SNX42	Cytoplasm to vacuole targeting	PX domain-containing protein that binds Apg17 and Cvt13, and is required for import of precursor Ape1.	Null: The cvt20 mutant accumulates precursor Ape1 but is normal for autophagy.. Other phenotypes: A mutation of a conserved tyrosine to alanine in the PX domain abolishes binding to PtdIns(3)P.	YDL113C	S0002271
CVT3				cvt3 is defective in maturation of the vacuolar protein, aminopeptidase I and exhibits minor defects in autophagy		L0004756
CVT6				cvt6 is defective in maturation of the vacuolar protein, aminopeptidase I and exhibits minor defects in autophagy		L0004758
CVT9		Oligomeric, coiled-coil, peripheral membrane protein	Oligomeric, coiled-coil, peripheral membrane protein required for stable binding of precursor API to its target membrane.	cvt9 is defective in maturation of the vacuolar protein, aminopeptidase I and exhibits minor defects in autophagy|cvt9 is defective in vacuolar delivery of aminopeptidase I and peroxisome degradation but is not needed for macroautophagy. The null mutant is viable and is relatively starvation-insensitive.	YPR049C	S0006253
CWC15		Complexed with Cef1p			YDR163W	S0002570
CWC2		Complexed with Cef1p		Null: required for pre-mRNA splicing	YDL209C	S0002368
CWC21		Complexed With Cef1p			YDR482C	S0002890
CWC22		Complexed with Cef1p			YGR278W	S0003510
CWC23		Complexed with Cef1p			YGL128C	S0003096
CWC24		Complexed with Cef1p			YLR323C	S0004315
CWC25		Complexed with Cef1p			YNL245C	S0005189
CWC27		Complexed with Cef1p			YPL064C	S0005985
CWH36		calcofluor white hypersensitivity			YCL007C	S0000513
CWH41	GLS1	Glucosidase I, involved in assembly of cell wall beta 1,6 glucan; an ER type II integral membrane N-glycoprotein	glucosidase I	Null mutant is viable, associated with K1 killer toxin-resistant phenotype and a 50% reduction in the cell wall beta 1,6-glucan level	YGL027C	S0002995
CWH43					YCR017C	S0000610
CWP1	YJU1	cell wall protein, involved in O and N glycosylation, acceptor of B1-6 glucan.	cell wall mannoprotein	Null mutant is viable, has increased sensitivities to calcoflour white and congo red	YKL096W	S0001579
CWP2	LPR1	major constituent of the cell wall containing GPI-anchor, plays a role in stabilizing the cell wall, low pH resistance protein	cell wall mannoprotein	Null mutant is viable, displays increased sensitivity to Congo red, calcofluor white, and Zymolyase	YKL096W-A	S0001956
CYB2		Expression is repressed by glucose and anaerobic conditions, is induced by L-lactate and is regulated by GRR1, ROX3, HAP1, HXK2 and CYC8	L-lactate cytochrome c oxidoreductase|cytochrome b2	Null mutant is viable but is deficient in cytochrome b2 and L-lactate dehydrogenase activity and is unable to use L-lactate as a sole carbon source	YML054C	S0004518
CYB5		cytochrome b5	cytochrome b5	Null mutant is viable, cyb5 mutations suppress ketoconazole hypersensitivity of a P450 reductase deficient strain	YNL111C	S0005055
CYC1		iso-1-cytochrome c	iso-1-cytochrome c	Cytochrome c deficiency	YJR048W	S0003809
CYC2		Involved in import of cytochrome c into mitochondria	cytochrome c mitochondrial import factor	Null mutant is viable. Deletion of CYC2 leads to accumulation of apocytochrome c in the cytoplasm; strains with deletions of CYC2 still import low levels of cytochrome c into mitochondria	YOR037W	S0005563
CYC3		cytochrome c heme lyase (CCHL)	cytochrome c heme lyase (CCHL)	Cytochrome c deficiency	YAL039C	S0000037
CYC7		iso-2-cytochrome c	iso-2-cytochrome c	Null mutant is viable	YEL039C	S0000765
CYC8	CRT8|SSN6	General repressor of transcription (with Tup1p); mediates glucose repression		Null mutant is viable; high level constitutivity for invertase, clumpiness, temperature-sensitive growth, alpha-specific mating defects and failure of homozygous diploids to sporulate	YBR112C	S0000316
CYH1				Cycloheximide resistance		L0000453
CYH10				Cycloheximide resistance		L0000457
CYH101						L0000461
CYH35						L0000458
CYH4				Cycloheximide resistance		L0000455
CYH5				Cycloheximide resistance		L0000456
CYH82						L0000459
CYH98						L0000460
CYK3		involved in CYtoKinesis		Null mutant is viable, exhibits slow growth, mild cytokinesis defects, and aberrant mother-bud neck morphology.  cyk3/hof1 and cyk3/myo1 double mutants are inviable	YDL117W	S0002275
CYM1		CYtosolic Metalloprotease	Metalloprotease	Null: Viable	YDR430C	S0002838
CYR1	CDC35|HSR1|SRA4|TSM0185	Required for START A of cell cycle, and glucose and nitrogen repression of sporulation	adenylate cyclase	Null mutant is inviable. cyr1 transiently arrests in G1 and sporulates precociously. N-terminal domain is dispensable for mitotic G1 arrest after nitrogen starvation, but required for sporulation. When altered, cAMP levels remain high and cells continue to bud with abnormal spindles	YJL005W	S0003542
CYS1			serine o-acetyltransferase (EC 2.3.1.30) (putative)	Mutant is a cysteine auxotroph and lacks serine acetyltransferase activity		L0000468
CYS2				cys2 and cys4 mutations are linked together and co-operatively confer cysteine dependence		L0000469
CYS3	CYI1|FUN35|STR1	catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine	cystathionine gamma-lyase	Null mutant is viable, cysteine auxotroph	YAL012W	S0000010
CYS4	NHS5|STR4|VMA41	encodes the first enzyme in cysteine biosynthesis. catalyzes the first committed step of transsulfuration.	cystathionine beta-synthase	Null exhibits vacuolar acidification defects; cys2 and cys4 mutations are linked together and cooperatively confer cysteine dependence.	YGR155W	S0003387
CYT1	CTC1|YOR29-16	Cytochrome c1	cytochrome c1		YOR065W	S0005591
CYT2		links heme covalently to apocytochrome c1	cytochrome c1 heme lyase (CC1HL)		YKL087C	S0001570
DAD1		Duo1 And Dam1 interacting; localized to intranuclear spindles and spindle pole bodies		Null mutant is inviable; temperature-sensitive mutant arrests with large buds and a short mitotic spindle	YDR016C	S0002423
DAD2	HSK1	Duo1 And Dam1 interacting; Helper of AsK1		Null mutant is inviable	YKR083C	S0001791
DAD3		Hypothetical ORF identified by homology. See FEBS Letters [2000] 487:31-36.			YBR233W-A	S0007595
DAD4	HSK2				YDR320C-A	S0007604
DAK1		putative dihydroxyacetone kinase	dihydroxyacetone kinase (putative)	Null mutant is viable and shows no growth defect in normal medium; mutant lacking both dak1 and dak2 is sensitive to dihydroxyacetone during saline growth	YML070W	S0004535
DAK2		dihydroxyacetone kinase	dihydroxyacetone kinase	Null mutant is viable and show no growth defect in normal medium; mutant lacking both dak1 and dak2 is sensitive to dihydroxyacetone during saline growth	YFL053W	S0001841
DAL1		allantoinase	allantoinase	Allantoin degradation deficient	YIR027C	S0001466
DAL2	ALC1	allantoicase	allantoicase	Allantoin degradation deficient	YIR029W	S0001468
DAL3		ureidoglycolate hydrolase	ureidoglycolate hydrolase	Null mutant is viable	YIR032C	S0001471
DAL4		allantoin transport	allantoin permease	Null mutant is viable, lacks allantoin transport capability	YIR028W	S0001467
DAL5	UREP1	allantoate permease	allantoate permease	Null mutant is viable, unable to transport allontoate or ureidosuccinate	YJR152W	S0003913
DAL7	MLS2|MSL2	allantoin pathway	malate synthase 2	Null mutant is viable	YIR031C	S0001470
DAL80	UGA43	Negative regulator of multiple nitrogen catabolic genes	GATA family transcriptional repressor	Null mutant is viable, deficient in allantoin degradation	YKR034W	S0001742
DAL81	UGA35	Positive regulator of multiple nitrogen catabolic genes	transcriptional activator for allantoin and GABA catabolic genes, contains a Zn[2]-Cys[6] fungal-type binuclear cluster domain in the N-terminal region	Null mutant is viable, unable to degrade allantoin	YIR023W	S0001462
DAL82		Positive regulator of allophanate inducible genes	positive transcriptional regulator	loss of induction for allantoin degradation pathways	YNL314W	S0005258
DAM1		Duo1 And Mps1 interacting. Localized to intranuclear spindles and spindle pole bodies.		Null mutant is inviable	YGR113W	S0003345
DAN1	CCW13	Delayed Anaerobic	cell wall mannoprotein|induced during anaerobic growth	Null mutant is viable	YJR150C	S0003911
DAN2		Delayed anaerobic gene	putative cell wall protein	unknown	YLR037C	S0004027
DAN3		delayed anaerobic gene	putative cell wall protein	unknown	YBR301W	S0000505
DAN4		Delayed Anaerobic Gene	cell wall mannoprotein	unknown	YJR151C	S0003912
DAP1		damage response protein related to membrane progesterone receptor	sterol-binding protein (putative)	Null mutant exhibits sensitivity to MMS, elongated telomeres, elevated petite formation, partial arrest in sterol synthesis	YPL170W	S0006091
DAP2	DPP2	Dipeptidyl aminopeptidase B (DPAP B)	dipeptidyl aminopeptidase B (DPAP B)	Null mutant is viable and lacks dipeptidyl aminopeptidase yscV activity	YHR028C	S0001070
DAT1		datin, an oligo(dA).oligo(dT)-binding protein	datin|oligo(dA).oligo(dT)-binding protein	Null mutant is viable, but phenotypically distinguishable	YML113W	S0004581
DBF1			kinase required for late nuclear division	Dumbell formation		L0000486
DBF2		Kinase required for late nuclear division. Cdc15 promotes the exit from mitosis by directly switching on the kinase activity of Dbf2.		Null mutant is viable, dbf1 dbf20 null mutants are inviable; mutants show dumb-bell phenotype	YGR092W	S0003324
DBF20		kinase required for late nuclear division	kinase required for late nuclear division	Dumbell formation	YPR111W	S0006315
DBF4	LSD7	Required for Cdc7 kinase activity	Cdc7p-Dbf4p kinase complex regulatory subunit	Null mutant is inviable; conditional alleles cause cell cycle arrest at the G1/S transition; dumbbell shape	YDR052C	S0002459
DBL1				Alcian blue dye binding deficient		L0000491
DBP1	LPH8	putative ATP-dependent RNA helicase; Dead box protein	ATP dependent RNA helicase (putative)|dead box protein (putative)	Null mutant is viable	YPL119C	S0006040
DBP10		Dead box protein 10		Null mutant is inviable	YDL031W	S0002189
DBP2		ATP-dependent RNA helicase of DEAD box family	ATP dependent RNA helicase|dead box protein	Null mutant is inviable	YNL112W	S0005056
